No,Komentar,Label,Hasil Klasifikasi,Kategori_Positif,Kategori_Netral,Kategori_Negatif,TP_Positif,FP_Positif,TN_Positif,FN_Positif,TP_Netral,FP_Netral,TN_Netral,FN_Netral,TP_Negatif,FP_Negatif,TN_Negatif,FN_Negatif
386,habis transaksi qris kurang merchant masuk sangkut mana uang,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
387,qris seabank cashback rp seasonal tastes oktober desember minimal transaksi rp,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
388,qris request timed nya gas transaksi nyangkut pulang takut bayar dobel,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
389,enak wory kendala koneksi hambat proses transaksi kayak qris andal konektivitasjaringan internet,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
390,suruh trf qris least nomor biar cek getcont kena scam grgr tolol beter transaksi ful syopi splitpay risky tbh cek testimoni blio search usn lupa,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
391,nominal ikhlas uang bayar lu nya transaksi qris transaksi gara transaksi mesin lu error mobile banking hasil tipu lu,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
392,spotify akun ned fast bayar qrisbni,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
393,transaksi daring gampang tinggal scan qris brimo bayar virtual credit card,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
394,ayo cari bom bonus tiktok minimal deposit id game tiktok deposit pulsa ewalet bank transaksi cepat praktis qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
395,btul qris handphone nya lambat bikin banget alam minimarket orang bayar qris parah banget suka kasir suka debit qris sinyal jelek rekomendasi,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
396,sapa joki poster komik dakwah ramadhan mati bayar qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
397,bayar payment kai drtdi bayar kayak ganti qrisaku fe,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
398,syarat tentu periode promo agustus transaksiuserhari promo laku transaksi mengunakan qris btn mobile promo gabung program promo,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
399,kayak salah kompetisi nasional vote qris kayak paytowin,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
400,isi adir eziokwu,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
401,diy qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
402,karya buka komis bayar qris lihat,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
403,aneh apa qris seler nyabuyer bayar qris bankewalet mana pertanyan relevan,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
404,bayar qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
405,lupa jajan hokben gin ribu cashbavk ribu bayar qris blu,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
406,xi beli tiket deluxe gratis tiket qris tmrw sabtu mingu laku beli langsung laku transaksinasabahari laku kelipat split bil laku bioskop deluxe laku imax premiere,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
407,ungar kudu banyak transaksi qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
408,want sel kuota xl akrab sharing gb rewards gb kuota fix gb lokal area gb aktif harga sisa al payment qris fastresp,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
409,pasar tradisional makasar mengunakan transaksi digital qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
410,jual makan qris mami,Negatif,Netral,TN,FP,FN,,,1,,,1,,,,,,1
411,mgetwit gara transaksi dobel make qris hadeh niat direct message akun bank scrol mana besok puas buka twiter nya,Negatif,Netral,TN,FP,FN,,,1,,,1,,,,,,1
412,selamat siang febriawan mandiri kartu kredit transaksi qris aplikasi livin mandiri,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
413,gokil transaksi qris roket periode libur lebaran,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
414,mbak taylor belanja bayar qris kasir nunjukin bukti hasil transaksi layar handphone foto catat manual,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
415,hah bayar tunai rumit kemanamana bawa handphone payment belanjan gampang qris nya alo bank tipe cashles mana pegang tunai ayo komen bawah,Positif,Netral,FN,FP,TN,,,,1,,1,,,,,1,
416,wta qris shope partner potong narik duit jam,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
417,alfa indo sekitar bayar qris bisa shope kala malas top,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
418,tolong signal xl mal park semarang dikuatin transaksi qris susah terima xl,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
419,ims infinite live concert planing lihat mobil ims surabaya diskon tiket bundle masuk ims surabaya transaksi danamon qris dbank pro ribu ribu beli tiket spot tiket box,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
420,mba charge langgan bayar qris debet cardc fe nya dagang tangung,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
421,promo cashback cashback dimanamana cashback bayar qris ketingalan jaman ketingalan promo nya promo qris unlimited aktifin promo nya rp terusterusan,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
422,wetv premium paynya qrispay drop plnya,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
423,bayar qris tinggal scan aplikasi mandiri livin rumit praktis langsung kelar gampang banget baik mandiri,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
424,al qris acount emailpasword go gren masuk mtht random pesan direct message,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
425,atm mobile banking qris produk karyawan pilih kenya stop transaksi riba ambil keuntunganya produk,Negatif,Netral,TN,FP,FN,,,1,,,1,,,,,,1
426,mah iya qris seabank au lihat entar,Negatif,Netral,TN,FP,FN,,,1,,,1,,,,,,1
427,transaksi qris cros border singapura,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
428,ingat hobi jajan cek nama merchant qris sesuai tuju transaksi profil usaha merchant biar transaksi nyaman ayo cek tips aman qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
429,hehehehehe mbakwa owhat hapened dj khaled,Positif,Netral,FN,FP,TN,,,,1,,1,,,,,1,
430,menit sender cary yel venti kokomi ei party andal lawan apep lai detailed report chat folder gdrive isi kait avail qris handled ac lots love,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
431,pagi kamis mingu kemarin transaksi shopepay bayar qris shope bayar debet jual masuk konfirmasi bayar mengunakan qris shopepay debet,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
432,chi,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
433,terima ewalet sedia bayar qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
434,mudah laku transaksi bisnis bjb qris bank bjb beli senang menang untung mudah bjb qris merchant ayo laku registrasi bjb qris merchant kantor cabang bank bjb dekat kota,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
435,gokil transaksi qris roket periode libur lebaran,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
436,transaksi malaysia bayar qris hariini,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
437,jiah hahaha biaya top rp bank sebal kau pikir kau untung bank aplikasi nya fitur bayar qris,Negatif,Netral,TN,FP,FN,,,1,,,1,,,,,,1
438,asosiasi perbanas juta penguna qris optimal transaksi digital,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
439,owambe,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
440,livin fitur rekap transaksi tahun syok nominal payment qris biler dk mean,Negatif,Netral,TN,FP,FN,,,1,,,1,,,,,,1
441,pasar anyar ajak beli qris sat transaksi,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
442,al qris acount emailpasword go gren masuk mtht random pesan direct message,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
443,qris mandiri coba max coba untung untung masuk,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
444,ayo sedekah subuh pesantren rupiah bahagia adik santri scan kode qris mudah sedekah rekening donasi bsi peduli yatim,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
445,simpel sop turnitin nomor repository file nomor repository proses tunggu menit buka admin tidur cek bayar bebas halaman non filter bayar shopepay linkaja qris seabank,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
446,wilayah kahitna konser ims infinite live diskon tiket bundle masuk ims surabaya bayar qris dbank pro ribu ribu beli tiket spot tiket box traktir teman alau bareng,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
447,ratus qris acount emailpasword go gren masuk mtht random pesan direct message,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
448,malam transaksi qris merchant payment masuk jenius potong pas telpon layan langgan pemeliharan sistem pemeliharan sistem aps akses,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
449,bayar non tunai kian mudah tukang bakso hinga turis qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
450,malam transaksi qrisdebit merchant lampu merah margo mati chaotic night,Negatif,Netral,TN,FP,FN,,,1,,,1,,,,,,1
451,sobiz indibizpay aplikasi usaha milik fitur bayar qris gratis integrasi bank indonesia top tagih tambah hasil kasir catat transaksi jual toko,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
452,transaksi qris living mandiri may piza hut disc kopi kenang diskon masuk komplain piza hut suruh hubung mandiri kerja fu,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
453,indonesia transaksi qris negara,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
454,tawarin netflix hari bayar neobankqris tambah biaya,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
455,senang hati informasi bapakibu langgan bayar mengunakan contactlesqris negeri negara singapura biaya tambah transaksi tksjavi,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
456,qris nempelin qr pas bayar qris suka tolak,Negatif,Positif,FP,TN,FN,,1,,,,,1,,,,,1
457,belanja perak qris hah hoh hah hoh bayar handphone lambat scan cr code,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
458,inovasi dishub bayar parkir tanjungpinang mudah qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
459,tujuanya tuju giat lomba asah skil kreativitas kampanye pengunan transaksi digital aman rumit qris,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
460,ned canva bayar qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
461,minimal coba jajan qris grab tulisanya kode valid qrisnya pakai transaksi grab bike,Negatif,Netral,TN,FP,FN,,,1,,,1,,,,,,1
462,cuci uang gampang banget benar jasa convert qris hasil tipu scan qris cair uang bersih,Positif,Negatif,FN,TN,FP,,,,1,,,1,,,1,,
463,ragu ragu buy sushi hero nipah mal bayar qris samsek bawa tunai way hero makan ichiban bayar qris ragu ragu fine bayar qris hero kayak,Negatif,Netral,TN,FP,FN,,,1,,,1,,,,,,1
464,sederat manfat transaksi non tunai qris pontianak kalimantan barat mudah praktis,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
465,real situation surabaya transport bayar tap kartu qris masuk langsung tap kartu bayar qris orang sat bis jalan nungu payment hambat sinyal diri pintu bis duduk manis kursi,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
466,sila beli mesin kasir outlet cgv pilih qris metode bayar scan qris mengunakan aplikasi blu pasti kode kupon blucgvqris pasang halaman konfirmasi lanjut bayar,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
467,gaji syukur tabung syukur bagi bagi kukang banget scanupload qris ewalet,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
468,merchant ciamis ngenain charge rp bayar qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
469,jujur sender tremor salah orang qris lacak jujur lupa qris cari transaksi nama bantuin tolong,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
470,bayar qris brimo minimal ribu cashback poin,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
471,tiket kahitna promo danamon qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
472,pemberitahuan transaksi beli mengunakan qris biaya tambah rp potong otomatis sistem bank ewalet ubah terima,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
473,pergi bawa handphone enak bayar qris bingung anak cashles bunda,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
474,untung fitur qris aplikasi adiraku tinggal scan barcode langsung bayar transaksi cepat mudah ayo langsung unduh registrasi aplikasi adiraku,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
475,asalamualaikum bmers zaman cangih mudah transaksi usaha syariah payment praktis aman fleksibel ayo gabung mitra qris muamalat biar pelang bayar gampang ngutang,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
476,anya adir boys,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
477,bayar akun sabru masuk akun simobi bayar scan qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
478,qris kau yok,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
479,lihat ims surabaya cashback transaksi danamon qris dbank pro loh gilak ngedate ayang,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
480,bi bebas tarif qris transaksi rp ribu,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
481,xi transaksi qris beli makan rp double payment tambah tunai rp layan langgan qris gagal bank kait transaksi hasil refund jam nomor refund,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
482,sesal dikit kemarin bayar debit qris,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
483,rilis original server skin kaja inferno taskmaster skin hylos digie bayar qris harga baik open reseler website layan langgan,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
484,ada ngescan qris transaksi jam direct message,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
485,data,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
486,khawatir laper ims surabaya danamon transaksi sana cashback qris dbank pro,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
487,perban implementasi qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
488,kosong qris al ac emailpasword go gren masuk mtht pesan direct message,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
489,pelaksanan pekan qris nasional wisata belanja kalimantan timur samarinda mana unjung wajib scan rp kupon undi hadiah potong harga rp total transaksi qris bankaltimtara taping,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
490,minimal kemarin langgan transaksi mengunakan qris notif customer nya mengunakan ewalet hasil cek aplikasi go biz masuk,Negatif,Netral,TN,FP,FN,,,1,,,1,,,,,,1
491,cerita dikit kayak tanggal maret jajan abang pingir jalan total belanja malas gerak uang tunai bayar qris maret acara bareng jawat rs cek mobile banking transaksi apa,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
492,spotify premium cuyh bayar qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
493,pengunanan qris jconect merchant transaksi capai rp triliun penguna jconect mobil capai user transaksi rp triliun,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
494,ratus al qris ac emailpasword go gren masuk mtht random pesan direct message,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
495,tyson phm keluh keluh transaksi qris sila tungu informasi direct message terima pf,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
496,bayar qris outlet bilang staf nya qris takut transaksi nya pendingagal refund nya minguan finance nya hahahaha engak mbak finance nya,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
497,sedekah subuh ayo lewat keberkahanya rupiah butuh adek santri scan qris nya rek zakat infaqshodaqoh yayasan darul marifah hidayatulah bsi,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
498,ja share qris mudah transaksi gengaman ponsel,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
499,nasabah hilang uang rp juta transaksi qris fraud salah sistem,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
500,yha nya pesan qris tf bank,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
501,nganter anak bawa ribu isi bensin belah jual buah banget iseng jual qris pesan kang buah keren banget kembang mudah transaksi,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
502,brimo transaksi bayar takjil praktis fitur qris bayar zakat fitur donasi thr,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
503,sobat shope ayo nanti shopepay gaji seru nikmat ekstra untung total ribu bayar qris top games spaylater bank cashback ribu cek informasi,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
504,df lihat barcode qris kode bayar lila sociola shopepay bayar webnya close terima,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
505,transaksi qris lesat persen april,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
506,bayar qris seabank beli kopi kenang promo cashback ribu loh promo laku juni gerai ofline kopi kenang ayo balas untung,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
507,oiya transaksi qris instagram mention tg aplikasi qris pas jajan langsung scan qris cepat banget flownya,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
508,hubung contact tindak informasi lapor transaksi qris proses maksimal kerja lapor,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
509,qris underage tf tfan fp bayar minimarket sj,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
510,asalamualaikum bmers kepraktisanya oknumoknum bertangung sat transaksi qris hindar jadi harap ayo pasang muamalat merchant aplikasi jual,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
511,untung transaksi mengunakan qris mudah kode qr terima bayar merchant beda,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
512,gampang bayar qris kartu kredit brimo inovasi hadir layan transaksi bayar qris pakai kartu kredit aplikasi aps brimo,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
513,era digital sat quick respons code indonesian standard qris metode bayar populer indonesia qris transaksi nontunai cepat mudah aplikasi dompet digital mesin kasir,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
514,hemat hemat hemat hemat also mba qris,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
515,hy spes sasing open joki tugas bhs ingris langsung chat fe jangkau cepat muas garansi revisi bayar ewalet qris pricelist testi,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
516,traktir masuk ims surabaya mumpung diskon transaksi danamon qris dbank pro lumayan banget ribu ribu,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
517,wajib bayar nontunai qr code pekan qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
518,pengunan layan qris harap dorong efisiensi transaksi cepat inklusi uang daerah,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
519,ayo bayar barangkali beli sharing pahamify zenius dia harga murah amanah lihat jadwal sharing direct message qris al ewalet testi,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
520,transaksi qris otomatis masuk rekening,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
521,cari mam bayar qris rumah tunai samsek ayam geprek favorit qris skip hua,Positif,Negatif,FN,TN,FP,,,,1,,,1,,,1,,
522,pgn ajak doi konser ims infinite live kahitna ges tiket bundle diskon ims surabaya danamon qris dbank pro ribu ribu beli tiket spot tiket box mantap seru banget kayak huhu okede gas,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
523,akun bisnis qris pined mutualan cepat,Negatif,Netral,TN,FP,FN,,,1,,,1,,,,,,1
524,bowleh bayar qris serius,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
525,luncur bank indonesia qris aplikasi standard qr code indonesia aman transaksi digital aplikasi ewalet pasti scan qris sehinga transaksi praktis,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
526,qris ayo cek taut moga informasi bantu lupa ajak temantemanmu transaksi mudah efisien,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
527,dolphino mohon maf ketidaknyamananya program promo cashback transaksi sukasuka qris payment livin mandiri merchant kuliner piza hut periode desember mekanisme nya sayurbox,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
528,enak jakarta bogor depok tangerang bekas jakarta transport integrasi turun kereta api jarak langsung sambung krlbus trans jakartalrt paymentnya gampang banget transport qris,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
529,deposit tanpan rumit qris gampang mudah detik langsung proses coba buru bonus nya ribu,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
530,scan qris co klik link bawah fast response fast transaksi,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
531,rtp gacor jamin tergacor baik minimal deposit id game deposit pulsa ewalet bank transaksi cepat praktis qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
532,nyaman butuh kendaran daring enak blue bird aps ketimbang gjekgab asli service nya enak ojol untunguntungan plus argo fixed price pilih payment non tunai qris,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
533,rangkum berita startup teknologi indonesia pek oktober himpun kabar linkaja terap qris mitra transaksi emas tokopedia signifikan lai post rangkum berita,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
534,pengunan qris pasang baru aplikasi mobile buka menu qr scan qris input nominal static cek nominal dynamic masuk halaman konfirmasi nominal transaksi masuk pin mbca bayar hasil informasi akses alif,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
535,era digital syukur mudah belanja ecomerce transaksi ewaletqris komunikasi mudah orang tonton hibur,Positif,Netral,FN,FP,TN,,,,1,,1,,,,,1,
536,antigen stasiun bekas bayar qris mohon terimakasi,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
537,maintenis jam pagi pas beli steam walet qris transaksi tunda kali alami ujung nya batal batas bayar besok lapor layan langgan bank nya balikin dana niat,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
538,kayak pas bayar indomart suruh tampilin barcode beda qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
539,ned netflix bayar qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
540,kado natal besok mumpung sobat beli kado bayar scan qris bifast kirakira sobat transaksi digital natal,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
541,bubur beli cimol qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
542,serius beli minum situ bayar qris,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
543,error scan qris,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
544,qris kode bu kasir otomatis cibiru songong bin ngotot transaksi qris limit duhduh ainhale exhale urus uang pusing moga hari,Negatif,Netral,TN,FP,FN,,,1,,,1,,,,,,1
545,ayo qris transaksi non tunai pilih sobat,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
546,alhamdulillah qris donasi semarang menfes buka kumpul total transaksi total uang rp moga amal kakak berkah senantiasa alah lipat ganda rezeki kakak aamiin,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
547,qris shopepay transaksi tolong baik minimal,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
548,sedia nomor transaksi convert ewalet qr link desak utama qr transaksi convert ewalet pulsa wajib input notes terima convert bank qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
549,bank indonesia bi resmi luncur quick respons code indonesian standard qris tuntas fitur qr transaksi tarik setor tunai sedia jasa bayar pjp cepat lambat sumateraekspres,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
550,banget livin bank mandiri tinggal qris transaksi hari rumit,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
551,nonton rizki febrian ims infinite live diskon tiket bundle masuk ims surabaya transaksi danamon qris dbank pro ribu ribu beli tiket spot tiket box murah traktir teman,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
552,smekom tips list merchant available scan qris try scan qris bayar malu,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
553,belanja butuh qris cashback beli paket qris unlimited aplikasi gojek rp loh dapat cashback tambah rp periode september laku beli paket kupon,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
554,laku usaha mudah untung proses cepat bank komersial bekerjasama bi menawrkan bunga tingi salah bank buka rekening bank nya syarat mengunakan system qris,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
555,minum teh cafe bayar qris kasir terima bank mandiri kakbeginilah ekosistem digital lemah qris pilihpilih bank,Negatif,Netral,TN,FP,FN,,,1,,,1,,,,,,1
556,belanja hemat kumpul mimin informasi belanja hemat cashback mengunakan qris btn mobile tarik banget ayo qris btn mobile transaksi,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
557,langsung proses qris aman akun ful garansi bulan,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
558,diskon qris qris motionbank diskon brawijaya hospital saharjo informasi laku desember,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
559,sedekah digital qris kotak infaq nu,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
560,simpel sop turnitin nomor repository file nomor repository proses tunggu menit buka admin tidur cek bayar bebas halaman bebas request filter bayar shopepay linkaja qris seabank,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
561,butuh sayur buah segar penuh belanja langsung web gratis kg telur ayam minimal transaksi rp mengunakan bjb digi bjb digicash qris bank bjb periode juli desember,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
562,informasi lapor transaksi qris proses maksimal kerja lapor kece lapor aplikasi brimo menu pusat bantu sabrina whatsap nomor akun resmi media sosial terverified tksdendi,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
563,ratus al qris ac emailpasword go gren masuk mtht random pesan direct message,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
564,darurat ortu pegang parkir makan qris pakai banget,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
565,kosong qris al acount emailpasword go gren masuk mtht random pesan direct message,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
566,minimal transaksi qris brimo tulisanya proses masuk merchant potong jam solusi,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
567,mohon informasi diy qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
568,simpel sepertinye tarik kerja kasir edc ajah suka beda laporanya lapor mesin kasir lapor bank nya lapor qris beda bayar tunai pesan daring,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
569,bi kepri catat transaksi qris cernival,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
570,quick respons code indonesian standard qris transaksi nontunai cepat mudah aplikasi dompet digital mesin kasir iring popularitas muncul risiko tipu qris palsu,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
571,transaksi penguna quick respons code indonesia standard qris tumbuh kini transaksi qris capai rp triliun penguna juta oktober,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
572,kpwbi solo siap sosialisasi qris mentari news,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
573,jual token listrik bayar qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
574,mohon maf kendala pending payment transaksi qris tanggal juli alami transaksi kredit setlement kait terima tian,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
575,mohon maf keluh alami keluh transaksi qris cek lapor tangan tim resolusi mohon tungu updatenya direct message terima pf,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
576,ingin belanja cashles bayar mini market mesin qris mesin dompet digital kira qris sesuai anjur,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
577,mrt tol bayar qris tap nfc anti kartu prepaid bayar utama acesibility kartu prepaid,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
