Komentar,Preprocessed Text,Logistic Regression,Lexicon-Based
"Wktu di bdg bingung bngt w kebanyakan cash, smntr transaksi pd pake qris gtgt. Wktu tu lg makan di makanan korea sm adek ak, cuma ad cash krna baru narik dan semua pula(?) wkwkw. Akhirny jd mesenn 1 menu buat bedua😭 tolillll",wktu bingung bngt banyak cash transaksi pake wktu makan makan korea sm adek ak ad cash krna narik,neutral,positive
"Yang bener tuh bacanya: QRIS -&gt  KRIS""   Biar mempersingkat waktu buat keliling di myBCA x JDF, siapin myBCA biar payment kamu langsung pakai QRIS nantinya. Tinggal scan, bayar, kelar~  Baca selengkapnya di sini: https://t.co/Bep7wisvSU #NyamannyaDuniaMyBCA https://t.co/IhErM2H5bP""",bener keliling siapin bayar kelar baca lengkap,positive,positive
Gue beneran culture shock disini pasar nya lebih utamain bayar pake qris dibanding cash..,gue beneran pasar bayar pake banding cash,neutral,positive
Tanya bayar pake shopeepay later lewat qris biasa skrg udah gak bisa ya?,bayar pake,neutral,positive
"Jadi keinget pernah beli seblak di gerobakan pinggir jalan, asal lgsg pesen aja ga ngecek bisa qris apa ngga, pas mau bayar panik ternyata gabisa pake qris mana gaada cash samsek, untung bisa tf ke sopipey masnya🥲",keinget beli jalan lgsg sen ngecek nga pas bayar panik gabisa pake gada cash samsek untung tf mas,negative,positive
"@evnnemart udh aku bayar taxnya, bisa co 11.11 dari go dduddu tp bayar dulu diaku. bs pake qris  https://t.co/isg1HJww8y",udh bayar bayar pake,neutral,positive
"XXI Beli 1 Tiket Deluxe Gratis 1 Tiket dengan QRIS TMRW 🗓️ Setiap Hari Sabtu dan Minggu   • Berlaku pembelian langsung • Berlaku 1x transaksi/nasabah/hari (tidak berlaku kelipatan &amp  split bill) • Berlaku di seluruh bioskop Deluxe, tidak berlaku untuk IMAX dan The Premiere https://t.co/5dWY7rJsiL",beli tiket gratis tiket sabtu laku beli laku laku laku laku,neutral,positive
wtb pulsa xl 20k yg bisa bayar lewat qris #zonauang #zonajajan #zonaba,pulsa bayar,neutral,positive
"@airlanggafess Kalau TJ perlu kartu E-money. Kalau yang lain-lain kayak KRL sama MRT bisa pake GoTransit-nya Gojek sama aplikasi MRT, bayar tiketnya bisa pake QRis.",tj kartu krl mrt pake gojek aplikasi mrt bayar tiket pake,neutral,positive
sumpa panik banget pas lg bayar di kasir tiba2 ga bisa buka qris gr² internet gue lemot parah😭 mana gue lagi cashless lg,sumpa panik banget pas bayar buka gr internet gue parah gue,negative,positive
nyari sempol yg bisa bayar pake qris😭😭 gada cash bjir,nyari sempol bayar pake gada cash,neutral,positive
kira kira bayar cod pke qris bisa ga ya abang kurirnya takut bgt uang di dana smuaaa gapegang cashh :(((( #tanya #kurir,bayar pke abang takut uang smua cash,negative,positive
Cokk iso2ne lagi sarapan ning nomi2 rep bayar qris mlah lali pass trus ke blokir🤣 bejo ne sebelah ono atm wkwkwk,ning bayar pas belah ono,neutral,positive
Min @seabankcare @SeaBankID apa seabank bisa digunakan untuk transaksi di luar negeri (qris) ?,transaksi negeri,neutral,positive
dau! superindo bisa bayar pake qris gak guysss?,bayar pake,neutral,positive
cv saldo ke gopay bisa bayar pake qris drop fee butuh skrang #zonaba #zonauang,bayar pake drop butuh,neutral,positive
Percobaan pertama bayar pakai kartu debit @blubybcadigital  daaaan gagal 😂  Akhirnya Qris BLU,bayar kartu debit gagal,neutral,positive
Gestun spaylater kah kak? Aku ada scan qris yg tadi nya akunnya gabisa pakai qris pakai scan ini jadi bisaa bayar pakai spaylater. Klo minat wa aja kakk,gabisa bayar minat,neutral,positive
"-dips! jastip chatime ngesrep ke bulusan utara blkg stadion, drop fee+parkir, yg bisa bayar qris yaaaa krn aku blm premium",utara drop bayar premium,neutral,positive
soalnya kadang tuh mager buat ambil cash apelagi sekarang apa2 qris bayarnya jadilah tuh. tp aku udah bbrp kali jg tbtb kesusahan grgr gaada cash samsek pas mau bayar parkir atau beli aqua di warung karna pas ditempat yg jauh sm indomaret😭😭🙏🏻 makanya skrg at least ada 50k cash,kadang mager ambil cash bayar brp tbtb susah grgr gada cash samsek pas bayar parkir beli aqua warung karna pas sm cash,negative,positive
💭 drive thru nya kfc bisa bayar pake qris gk ?,bayar pake,neutral,positive
"• Bisa pakai shopee yaa tp tentunya akan ada additional fee • Bisa bayar pakai Scan Qris • Semuanya udah termasuk fee jastip dan tax • Bisa ss dan dm aku barang yang kamu mau ya, kamu boleh dm ke ig aku atau twitter or tiktok akuu.. maaciw ges🥰",bayar tax barang ig tiktok,neutral,positive
@paradocscs penjual cilok aja skrg pake Qris transaksi,jual pake transaksi,positive,positive
-dips! tempat beli sayur yang bisa bayar pake qris dimana yaa? https://t.co/3OCYn1uUvt,beli sayur bayar pake mana,neutral,positive
-dips! inpo spbu yang bisa bayar pake qris😞,inpo spbu bayar pake,neutral,positive
"mau tarik tunai gabisa, mau tf ke org supaya bisa dpt cash jg bingung ke siapa soalnya itu pas dh pulang kelas 😭😭😭😭😭 mau bayar pake qris jg mamang nya ga nyediain 😭😭😭",tunai gabisa tf cash bingung pas dh pulang kelas bayar pake nyediain,neutral,positive
tanya bayar blibli pake qris bisa lewat qopay ga? https://t.co/E4U6OOPElp,bayar pake,neutral,positive
@matcshaady @discountfess Kalo QRIS nanti bayar nya pake apa kak?,bayar pake,neutral,positive
"Bisa bisanya beli makan di seblak gondez pake qris, terus tulisannya transaksi anda sedang proses. Sampai skrg masih pending, terus uangku kemana wkwkwk 😭",bisa beli makan pake transaksi proses mana,positive,positive
@bw00taw Yoi jg pernah (◞‸◟；) klo gasalah buat dapet qr qris harus bayar ya? Seinget yoi sih gitu https://t.co/DO1taEZkkO,yoi dapet qr bayar yoi,neutral,positive
"@XpresiBCA Kalau bayar pakai QRIS MBCA, sumber dananya bisa pakai Kartu Kredit?",bayar sumber dana kartu kredit,neutral,positive
"Pamer bingung mau beli apa krn kode-kodean cuma bisa sekali, akhirnya yaudahlah mie aja wkwk mayan 10 biji cuma 5,5k, bayar oake qris. Kodenya BPD23-WIN ya https://t.co/a0HDrwTYSE",bingung beli mie mayan biji bayar,neutral,positive
@yoyoi_36 @bw00taw Itu qris Telkom bayar https://t.co/Dj7jGiGK8S. ditempat lain gratis,bayar gratis,neutral,positive
@0x7gen88 @ellaholis Betul 😂 sayangnya ga bisa bayar pake qris 🤣 mau genapin dulu wkwkkwk,sayang bayar pake,negative,positive
"ugm_fess gaess, ada nomor kontak galon yang bisa bayar pake qris ga ya daerah pogung atau sendowo gaa???",nomor bayar pake daerah,neutral,positive
Gopai koin gabisa buat bayar qris ternyata.,koin gabisa bayar,neutral,positive
"SOP CONRO itu masakan khas makassar, harga 1 porsi nya 50k bisa bayar cash atau dengan qris. Conro itu Iga sapi dibumbuin kacang, lalu ada kuah sop dan nasi. Sumpah ini rasanya enaaak banget!!!🥰🥰🥰🥰 nilainya 1000/100  Kelupaan foto karena ga keingetan dan udah pengen makan 😅 https://t.co/02rVTIyjW6",makasar harga porsi bayar cash sapi kacang nasi sumpah banget nilai foto keingetan ken makan,negative,positive
"@bakul_bayemm @andnshfa @discountfess Pake qris, aku scan di spay bisa",pake,neutral,positive
"Halo @BNICustomerCare , kemarin malem saya pake qris tp uangnya blm sampe ke merchant sampai skrg. Saldo juga udah kepotong dan gk balik, jadi gmn ya?",kemarin malem pake uang sampe potong,negative,positive
"@akkeida @convomf aku belum pernah coba sih kak, cuman seharusnya yang bisa ditarik itu cuman yang di bluaccount aja. karna kalo kita pake transaksi qris pun yang kepake only bluaccount karna yang pocket kayak ke lock gitu",coba cuman tarik cuman karna pake transaksi kepake karna,positive,positive
"@aranarae_ dia sayurnya kayak tempatnya bersih gitu kah, apa yg beda dgn pasar tradisional? dan yg paling utama: semua penjual apakah bisa bayar pake qris?",bersih beda pasar tradisional utama jual bayar pake,positive,positive
Mau cv ovo to seabank pake qris dong #zonauang #zonajajan,pake,neutral,positive
"@uranouzs ask first ya kakk, kalau bayar pakai qris lewat shopee kena fee gaak?",first bayar,neutral,positive
@modugiribaksu @asbakkondangan Nerima bayar pke qris gk tuh?,nerima bayar pke,neutral,positive
@arinmolala aku jg pake jasa hehe kayaknya harus punya qris ga sii klo mau cv sendiri(?) kurang paham aku,pake jasa kayak paham,negative,positive
"@kegblgnunfaedh jujur pernah di bandung, braga. itu emang astagfirullah rame pengamen.. -baru jalan dikit ada pengamen -baru keluar kafe ada pengamen sampe pernah ketemu pengamen yg maksa &amp  akhirnya gue bilang : sorry ga ada uang kecil"" dengan enaknya dia bilang : ""PAKE QRIS BISA KOK BANG"" 🗿""",jujur bandung emang rame jalan dikit sampe ketemu maksa gue uang enak pake bang,negative,positive
@frieesy Gbisa pake qris gwe gemeteran bgt untung kebetulan bawa dongmpet https://t.co/2Qymgz7XbB,pake gwe untung bawa,positive,positive
"@undipmenfess iyaaaaaa😭 kek aku males bgt klo harus narik 50k untuk isi dompet, makanya kadang mikir, ini yg jualan2 di pinggir jalan gamau pakein qris apa yakkkkk hufffff, malah pernah aku mikir, isi bensin bisa pake qris ga ya? trus keinget klo gabole main hp dan ga bakal bisa si yakan:)""",males narik isi dompet kadang mikir jual jalan gamau yak mikir isi bensin pake keinget main hp,neutral,positive
@pyrrhicfury @Buyung__ @kegblgnunfaedh Tapi emang bener dibraga ada yg pake qris ditempel diujung gitarnya,emang bener pake tempel,neutral,positive
"・❥・Order Now! 🛒¡! ❞ ꒰ Semua kebutuhanmu ada di sini! 😊 ꒰ BerGaransi dan Terpercaya sejak 2019. ⏳️ ꒰ Bayar dengan Dana, Gopay, Spay, atau QRIS.💰 ꒰ Fast respon? Orders here, klik https://t.co/8f0YtwB52T ✓ https://t.co/lhVxhjbbkx",order now percaya bayar respon klik,neutral,positive
@recehtapisayng Pake qris bisa gak bang? Saya gak ada cash,pake bang cash,neutral,positive
kejadian hr ini guys sebel bgt ak ke cafe bayar pk qris hrs minim 50k bjir 😁 jdnya ak spend 60k 😁,jadi sebel ak cafe bayar pk hrs minim jdnya ak spend,negative,positive
"pernah makan di luar, ada anak kecil minta. posisinya lagi cashless  makanpun bayar via qris, eh dibilangin sok cantik sama didoain yg jelek"" 😭👎🏻""",makan anak posisi bayar via sok cantik jelek,negative,positive
"@fafaija @undipmenfess Sumurboto stationary wkwk untung pas mau pake qris pas bngt 20 ribu, mbanya lngsung terbungkam",untung pas pake pas bngt ribu lngsung,positive,positive
"lama lama gua beli qris yang bayar nih, ngandelin dana bisa sampe jenggotan",gua beli bayar sampe,neutral,positive
"@sceneryoe @discountfess Vocnya kan voucher khusus toko kak jadi tiap voucher satu akun, cara ngakalinnya kalau bunya banyak kode voucher ya co tapi jangan dibayar dulu, usahain metode pembayaran qris ntar batal bayar, abis itu dikaish 15 menit buat nyelesain. Nah silahkan co dari toko lain yg ada kode-",voucher toko voucher akun kode voucher bayar bayar bayar abis menit silah toko kode,neutral,positive
"dear custt yang kemarin mau joki mindmap di aku, tf nya pake qris dari bca sakuku tolong chat aku duluaan😭history chatku hilaaang aaaaa tolong chat aku duluaann🙏",kemarin tf pake tolong chat hilang tolong chat,negative,positive
"@mossalaah @discountfess Kalau 2 hari kerja belum dikirim otomatis batal kak kayak Lazada, kalo pembayaran pake e-cash kek dana/linkaja/ovo/qris dll ntar masuknya ke BliPay.",kirim otomatis bayar pake dl masuk,neutral,positive
@djiiwaraga Kakk djiee ready bukan maen ini mah uhuyyyy💃btw btw payment nya bisa pake qris tidaa?,pake tida,neutral,positive
"@saymynamevy Alhamdulillah bisa pake qris, ada kodenya nyempil di etalase paling depan, masalahnya kalo harus cash atmnya jauh jadi agak panik",pake cash panik,negative,positive
"@amlyaap_ Sini jadi reseller aku gak bayar kaaa  Halo aku opress boleh intip pl dulu, no fee no target, boleh pinjem qris admin jg asal ordernya di admin kalo order di fh lain gabisa pinjem yaa",bayar intip target pinjem admin admin order gabisa pinjem,neutral,positive
"gw gak akan pernah mau ngasi duit lagi ke pengamen yg modelan nya masi muda begini,waktu itu pernah pengamen udh gw bilang “maaf gk ada duit receh”  dia bilang pake qris aja, spontan gw jawab lagi  “modal idup ngamen doang gak bakal maju lu ngentot”",duit mas muda udh duit pake modal idup doang maju ngentot,negative,positive
"@kegblgnunfaedh gw gak akan pernah mau ngasi duit lagi ke pengamen yg modelan nya masi muda begini,waktu itu pernah pengamen udh gw bilang “maaf gk ada duit receh”  dia bilang pake qris aja, spontan gw jawab lagi  “modal idup ngamen doang gak bakal maju lu ngentot”",duit mas muda udh duit pake modal idup doang maju ngentot,negative,positive
kenapa si indomaret gk bisa pake qris sebel deh,pake sebel,negative,positive
"@rocesmut @tinklesm @veirbal Itu mksdnya gimana aku kurang paham, soalnya brpa kali bantuin orng tf uang pake perantara minjem Qris ku 😭",mksdnya paham brpa orng tf uang pake ku,negative,positive
"@discountfess ini aku gratis, terus biasanya kalo belanja pake QRIS cashbacknya mayan bangettt, terus mau nabung yg bukan deposito juga dpt bungaaa so jangan hawatir saldo akan turun hahaha",gratis belanja pake mayan banget nabung bunga turun hahaha,positive,positive
@undipmenfess Mau beli warteg ga ada cash dan saldo atm gabisa ditarik karna ga genap 50 is another level of pain. Long life buat semua pedagang yg bisa pake qris,beli warteg cash gabisa tarik karna genap level long dagang pake,positive,positive
Df udah pasrah kaga bakal dapet cb ternyata cair juga bsi x mcd pake qris mobile tau gitu debit aja auto masuk😭 coba cek punya kalian masuk juga ga? https://t.co/FiZGRzaIbc,pasrah kaga dapet cb cair mcd pake mobile debit auto coba cek,neutral,positive
@convomf kayaknya bisa deh pake qris,kayak pake,negative,positive
"wta dong kalo aku bayar lewat qris pake spay ke orang lain, keliatan nama pengirimnya nggaa? #zonauang",bayar pake liat nama nga,negative,positive
Transaksi QRIS BRI di Papua Tembus Rp 294 M https://t.co/cxyodrikln lewat @httpstwittercom,transaksi papua tembus rp,neutral,positive
Transaksi QRIS BRI di Papua Tembus Rp 294 M https://t.co/Lr0sz4U4kn lewat @httpstwittercom,transaksi papua tembus rp,neutral,positive
Transaksi QRIS BRI di Papua Tembus Rp 294 M https://t.co/EmIvCPsDuj,transaksi papua tembus rp,neutral,neutral
"trs gue juga jd paham kyk se gak ada cashnya lo, ya inisiatif gmn cara biar duit lu ada cash, jgn nyusahin org lain, apalagi ngandelin qris, klo ada kendala pas bayar pke qris kan ujung2nya lu nyusahin temen",trs gue paham kyk inisiatif duit cash nyusahin kendala pas bayar pke ujung nyusahin temen,negative,positive
"@deden_manden Hi Kak, mohon maaf atas keluhan yang dialami. Utk keluhan transaksi QRis, saat ini keluhan kamu sedang ditindaklanjuti oleh tim terkait. Kami akan segera infoin jika udah ada hasilnya. Mohon ditunggu dan terima kasih atas kesabarannya ya Kak. Thanks -PF-",keluh alami keluh transaksi sat keluh ditindaklanjuti tim kait hasil terima,neutral,positive
"Aplikasi Judi Slot, Casino dan Togel Online 24Jam terpercaya Transaksi melalui Transfer Bank,E-wallet, Qris dan Pulsa semua lengkap memudahkan member dalam bertransksi dan pelayanan 24 jam nonstop siap membantu kendala anda. tunggu apalagi segera daftar dan main di Gresiktoto https://t.co/D0kEbw4wYR",aplikasi judi online jam percaya transaksi pulsa lengkap member layan jam bantu kendala daftar main,neutral,positive
@tanyadoank13 Jika tidak bisa menggunakan QRIS blu maka Kakak bisa transaksi contactless atau melalui mesin EDC menggunakan bluDebit Card karena bisa digunakan untuk merchant Domestik dan Internasional ya.,kakak transaksi mesin card internasional,neutral,positive
"@elisabethmurni Selama ada QRIS, EDC BCA, dan ATM BCA, transaksi aman. 👍",transaksi aman,positive,positive
"@discountfess Kalo gak punya kode Qris atau takut jasa convert,bisa instal Buka Kios.Nanti topup saldo byr pake qris ovo,saldo tarik ke bank/ewallet lain.Kena admin tapi cuma % dr total transaksi,bukan plek 2,5rb",kode takut jasa buka topup byr pake admin total,negative,positive
BI dan Agun Gunandjar Sosialisasikan Transaksi Non Tunai QRIS di Ciamis https://t.co/ZR2P9SYeHn https://t.co/YX4GR5uZPp,transaksi non tunai ciamis,neutral,neutral
"@bankmandiri  Saya melakukan transaksi Qris Livin dan transaksi tersebut gagal, namun saldo terpotong.  Cek DMnya min.",transaksi transaksi gagal cek,neutral,positive
@berburusales Coba transaksi 30rb pake debitnya itu (QRIS atau tagihan) nanti dpt lagi voucher 15rb....,coba transaksi pake tagih voucher,neutral,positive
"@63butterflies Hai Kak @63butterflies, maaf ya udah buat Kakak gak nyaman. Saat ini transaksi QRIS terpantau normal, mimin saranin Kakak coba kembali secara berkala dan pastikan jaringan internet stabil ya. (1/5)",kakak nyaman sat transaksi pantau normal kakak coba kala pasti internet stabil,positive,positive
@Layatan1230 @berburusales ohh jadi transaksi qris di dana payment debit ya?,transaksi debit,neutral,positive
"Need jasa pinjam qris, plis plis 1x transaksi doang🧍‍♀️  #zonauang #zonaba",jasa pinjam plis transaksi doang,neutral,positive
"@saadzaix @HaloBCA Kemaren aku juga kaya gini ka, udh kepotong saldonya sama pihak (QRIS BCA) tetapi merchant tidak menerima transaksi dari saya, itu kan yg salah pihak bank BCA kan ? Ketika di complain ga bisa, gamau refund dana nasabah, hadeuh merugikan nasabah @BankBCA @HaloBCA",kemaren kaya gin udh potong terima transaksi salah bank gamau rugi,negative,positive
"@altsna_ Hi Sahabat @altsna_, mohon maaf atas ketidaknyamanannya. Apabila Bank Mandiri sebagai pihak penerima dana maka mohon konfirmasi ke bank yg menjalankan transaksi.  Terkait kendala transaksi QRIS jika menggunakan Livin by Mandiri, agar dapat kami lakukan pengecekan mohon…",sahabat bank mandiri terima bank jalan transaksi kait kendala transaksi mandiri laku kece,neutral,positive
Qris bisa error dana udah ke ambil transaksi nya gagal kocak,eror ambil transaksi gagal kocak,negative,positive
@zhimory Malam emang hobi maintenance. Tiket KA Lokal juga bisa mulai pesen H-7 sebelum berangkat. Udah lama jadi pengguna KA aja aku transaksi tetep pake QRIS. Lebih meyakinkan.,malam emang hobi maintenance tiket lokal sen berangkat transaksi tetep pake,positive,positive
Kalian jg bs dpt voucher belanja dgn redeem BRIpoin &amp  ada cashback 10% setiap transaksi di merchant BRI pake QRIS di BRImo.  Dah lah gass download BRImo sekarang.  Cek info detailnya di :  https://t.co/8w36YJt01Z  #BRImoFSTVL #SemuaPakeBRImo #BRImo #SatuNusaSatuBRImo @BANKBRI_ID,voucher belanja transaksi pake gas download cek info,neutral,positive
"Transaksi QRIS di Jember Hingga Banyuwangi Capai 7,6 Juta, Nilainya Capai Rp920 M  https://t.co/DY5J7ZNHMD",transaksi banyuwangi capai juta nilai capai rp,neutral,neutral
@friedelcraft Walaupun transaksi yg scan qris gt kah?,transaksi,neutral,positive
"🎉NIKMATI CASHBACK 30%* DARI SEABANK &amp  VENCHI!🎉  Penggemar VENCHI, dapatkan CASHBACK 30%* melalui transaksi menggunakan QRIS SEABANK✨ Yuk REPLY QRIS SEABANK"" sekarang &amp  tunggu traktiran seru lainnya ya!😉 Info selengkapnya cek di sini 👉🏻 https://t.co/zXbhtw3QyY https://t.co/5Zs2nLMzv4""",nikmat mar dapat transaksi info lengkap cek,neutral,positive
🪻 TnC  ☆ AKU DAN KAK @qingmon AKAN PISAH SALDO TAPI REKAP DONASI DI THREAD YANG SAMA ☆UANG YANG MASUK AKAN DIDONASIKAN 1X/HARI SAAT KAMI SUDAH CLOSE ☆ TRANSAKSI MELALUI QRIS AKAN DIDONASIKAN SAAT UANG SUDAH CAIR,uang sat transaksi sat uang cair,neutral,neutral
🔮 TnC  -☆ AKU DAN KAK @elxenera AKAN PISAH SALDO TAPI REKAP DONASI DI THREAD YANG SAMA -☆UANG YANG MASUK AKAN DIDONASIKAN 1X/HARI SAAT KAMI SUDAH CLOSE -☆ TRANSAKSI MELALUI QRIS AKAN DIDONASIKAN SAAT UANG SUDAH CAIR,uang sat transaksi sat uang cair,neutral,neutral
@eun__seok Pembayaran via menu QRIS  e-Voucher akan dikirimkan via SMS ke nomor HP Bapak/Ibu yang terdaftar untuk pembukaan tabungan via BCA mobile atau myBCA dalam jangka waktu 14 hari kerja sejak Bapak/Ibu melakukan pembukaan tabungan dan transaksi di BCA mobile atau myBCA. (4/7) ^Reni,bayar via via nomor hp daftar tabung via mobile jangka tabung transaksi mobile,neutral,positive
"@yoake_6 Selamat siang, @yoake_6. Jika yang Anda maksud aplikasi blu by BCA Digital, maka belum bisa transaksi QRIS di luar negeri ya. ^Ethe",selamat siang aplikasi digital transaksi negeri,neutral,positive
@sylvkartika Wah anjir gw baru tau ini Beberapa hari lalu udah jadi kan qris gw Lah kmaren tu ada transaksi lumayan gede Takut nih skrng gw bakalan dicairin kagak soalnya cs nya lelet banget 😭😭😭,anjir kmaren transaksi lumayan gede takut skrng cs banget,positive,positive
"Pliss ini kenapa yaa, aku ga ngapa²inn tapi tiba tibaaa ada transaksi Qris😭😭😭😭 https://t.co/KzZpRwsWbW",plis ngapain transaksi,neutral,positive
"Diskon 25% Fried Chicken Master dengan pembayaran Kartu Debit, Kartu Kredit dan Aplikasi QRIS khusus BRI  • Berlaku untuk Dine In dan Take Away • Minimal transaksi Rp100.000 • Maksimal diskon Rp50.000 https://t.co/bLN359QQY0",diskon bayar kartu debit kartu kredit aplikasi laku minimal transaksi rp maksimal diskon rp,neutral,positive
"@dntchl Dengan senang hati kami informasikan Bapak/Ibu Pelanggan. Jika yang dimaksud untuk proses settlement transaksi QRIS Statis, maka otomatis dilakukan setiap hari dan pembayaran ke merchant atas hasil transaksi H+1 (termasuk weekend dan hari libur) ya. Proses (1/3) ^Nindi",senang hati proses transaksi statis otomatis bayar hasil transaksi libur proses,positive,positive
"@HaniNurfatiya 4. Cashback hanya diberikan untuk transaksi QR OCTO Mobile dari sumber dana Tabungan, Kartu kredit &amp  Rekening Ponsel di mesin EDC CIMB Niaga/EDC Multibank/QR Statis CIMB Niaga. 5. Limit maksimal QRIS yang ditentukan oleh Bank Indonesia adalah Rp10.000.000,00.",transaksi qr mobile sumber tabung kartu kredit rekening mesin statis niaga maksimal tentu bank indonesia rp,neutral,positive
"@mandiricare by default harusnya transaksi QRIS itu tarik saldo rekening, ini kok tarik pake CC.  sistemnya kok aneh yaa. ini engineernya gak paham develop system apa sengaja biar orang pake CC ?",transaksi rekening pake sistem aneh paham system sengaja pake,negative,positive
"dear livin, saya tadi ada transaksi di Kopi Kenangan Cambridge Medan menggunakan QRis Livin tetapi status nya tertunda dan saldo saya sudah berkurang dan pihak Kopi Kenangan blm menerima uang nya. Mohon bantuannya @mandiricare @bankmandiri",transaksi kopi kenang medan status kurang kopi kenang terima uang,negative,positive
Menurutku penemuan di bidang keuangan tercanggih kedua setelah QRIS itu Virtual Account. Bener2 mempermudah transaksi para pihak.,turut temu bidang uang bener transaksi,negative,positive
"Komisi XI DPR RI:Tingkatkan Literasi Keuangan Digital Ibu Rumah Tangga Bank Indonesia mencatatat,hingga kuartal II-2023,nominal transaksi QRIS tumbuh 104,64%, sehingga mencapai Rp49,65 Triliun,dengan jumlah pengguna 37,0 juta. #tvrparlemen #dprri #tvr120 https://t.co/L2xVSA4bjG",komisi dpr uang digital rumah tanga bank indonesia kuartal nominal transaksi tumbuh capai rp juta,neutral,positive
"@HaloBCA Berarti transaksi dengan qris sudah termasuk setoran awal ya, tidak harus setor tunai ke atm?",transaksi setor tunai,neutral,positive
Kalian juga bisa tukerin BRIpoin jadi voucher belanja dan aja juga loh cashback 10% setiap transaksi di merchant BRI pake QRIS di BRImo  @BANKBRI_ID,voucher belanja transaksi pake,neutral,positive
@ameliarishyyyy @discountfess Kalo yg niat itu beli di blibli min 150 pake qris line kak harus 2x transaksi kalo mau dpt 40k. Kalo cmn 1x cmn dpt 20k. Yg sisanya kurang tau,niat beli pake line transaksi cmn cmn sisa,neutral,positive
"@GUECOPO Transaksi dengan QRIS merupakan salah satu dari transaksi yg disyaratkan, bukan setoran awal. Namun, untuk dapat melakukan transaksi QRIS, maka perlu terdapat saldo pada rekening baru Bapak/Ibu Pelanggan tersebut. Tidak harus melalui ATM.",transaksi salah transaksi setor transaksi rekening,neutral,positive
"Diharapkan melalui kegiatan ini, masyarakat di Purbalingga lebih aware, memiliki akseptasi dan usage qris yang tinggi sehingga meningkatkan pengguna dan volume transaksi QRIS di wilayah Purbalingga dan sekitarnya. Yuk kita terus gunakan QRIS ya bestie semuanya.  #MayuhnganggoQRIS",harap giat masyarakat aware milik tingkat volume transaksi wilayah,neutral,positive
"Diharapkan melalui kegiatan ini, masyarakat di Banyumas lebih aware, memiliki akseptasi dan usage qris yang tinggi sehingga meningkatkan pengguna dan volume transaksi QRIS di wilayah Banyumas dan sekitarnya.  Yuk kita terus gunakan QRIS ya bestie semuanya.",harap giat masyarakat aware milik tingkat volume transaksi wilayah,neutral,positive
Melalui kegiatan ini diharapkan dapat meningkatkan transaksi penjualan pedagang ya bestie dengan berbagai kemudahan dan manfaat dari penggunaan QRIS serta mendorong percepatan pemulihan perekonomian di Kabupaten Banyumas bestie.,giat harap tingkat transaksi jual dagang mudah dorong cepat pulih ekonomi kabupaten,neutral,positive
"senilai minimal Rp20.000,- dapat memperoleh kesempatan utk mendapatkan souvenir dan merchandise menarik dari Bank Indonesia. Hal ini untuk mendorong peningkatan transaksi pada UMKM di event AGF apalagi diseluruh umkm yg ikut serta sudah memiliki QRIS sebagai metode pembayarannya.",nila minimal rp oleh sempat tarik bank indonesia dorong tingkat transaksi umkm event seluruh umkm milik,neutral,positive
Yuks bestie jangan lupa ya gunakan QRIS sebagai metode pembayaran transaksi kamu semua ya.  #mayuhnganggoqris #disetiapmaknaindonesia #akubanggabibermakna,lupa bayar transaksi,neutral,positive
"Hallo @BNICustomerCare saya barusan belanja di warung pake metode qris. Transaksi gagal, saldonya ga kekirim ke pedagang, tapi saldo di akun saya hilang. Saya belanja setotal 65.000. Ini solusinya gimana ya? Semoga dibales.",barusan belanja warung pake transaksi gagal dagang akun hilang belanja solusi moga,neutral,positive
@linkaja transaksi Qris lg error min ?,transaksi eror,neutral,positive
"@gojekindonesia @gopayindonesia min, tadi saya coba transaksi pake gopay di merchant, tapi loadingnya lama bgt, akhirnya ganti scan qris pake mobile banking dan sukses. Tapi kemudian notif transaksi yg gopay sukses juga setelah 30 menit. Ini bisa direfund gak? https://t.co/Ai37swK4du",coba transaksi pake ganti pake mobile sukses transaksi sukses menit,neutral,positive
@mediocrickey Nah itu abangnya pake shopeepay itu gue pake qris kaga masuuk nga ada di history transaksi abangnya udah ditunggu lama juga masih nga masuk yawdalah jdi bayar 2x,abang pake gue pake kaga nga history transaksi abang nga bayar,negative,positive
"shopee kenapa deh  padahal aku ngelakuin transaksi yang bener, cuma bayar qris Indomaret pakai shopeepay tiba aja akun aku di batasin (F02)  padahal ada saldo penjualan, pesanan yang belum aku kirim gimana nih nasib customer aku yang pesanan nya belum sempat aku kirim @ShopeeID""",ngelakuin transaksi bener bayar akun batasin jual pesan kirim nasib pesan kirim,positive,positive
"gue : bu tapi ini qris buat transfer, bukan kwitansi elektronik.""  penipu: ""iya nanti setelah itu muncul kwitansi""  gue: ""uang saya ketarik dong""  ""nggak kak, kalau ketarik nanti kami refund""  *dalam hati gue ga yakin tapi tetep ditransfer 4x transaksi*  dasar goblok""",gue bu elektronik tipu muncul gue uang hati gue tetep transaksi dasar goblok,negative,positive
"@HaloBCA tolong dong tadi transaksi pake qris ... pembayaran berhasil tapi resi ga kecetak ,padahal saldi sudah kepotong...gimana solusinya",tolong transaksi pake bayar hasil solusi,neutral,positive
